"a","b","d_m"
-500,-1800,144.96913079106685
-485,-1800,143.84092978398422
-470,-1800,142.7218459127418
-455,-1800,141.61187938624627
-440,-1800,140.51103035309987
-425,-1800,139.41929889844405
-410,-1800,138.33668504073347
-395,-1800,137.2631887284374
-380,-1800,136.19880983667258
-365,-1800,135.143548163764
-350,-1800,134.0974034277384
-335,-1800,133.06037526274807
-320,-1800,132.03246321542824
-305,-1800,131.0136667411875
-290,-1800,130.00398520043416
-275,-1800,129.00341785473856
-260,-1800,128.01196386293338
-245,-1800,127.02962227715526
-230,-1800,126.05639203882644
-215,-1800,125.09227197458229
-200,-1800,124.13726079214423
-185,-1800,123.19135707614184
-170,-1800,122.2545592838871
-155,-1800,121.32686574110292
-140,-1800,120.40827463760914
-125,-1800,119.49878402297064
-110,-1800,118.59839180210867
-95,-1800,117.70709573088214
-80,-1800,116.82489341164009
-65,-1800,115.95178228875164
-50,-1800,115.08775964411642
-35,-1800,114.23282259266091
-20,-1800,113.38696807782583
-5,-1800,112.55019286704882
10,-1800,111.72249395574195
25,-1800,110.9038688411259
40,-1800,110.09431288259286
55,-1800,109.29382722301453
70,-1800,108.5024062735006
85,-1800,107.72006730664437
100,-1800,106.94684843280898
115,-1800,106.18270108839144
130,-1800,105.42775957606764
145,-1800,104.68190415771258
160,-1800,103.94531175247684
175,-1800,103.21785578639295
190,-1800,102.49972836276021
205,-1800,101.7908048099627
220,-1800,101.09128359707708
235,-1800,100.40105054061473
250,-1800,99.72030179803434
265,-1800,99.04894209506476
280,-1800,98.38715675459213
295,-1800,97.7348776564682
310,-1800,97.09227093331042
325,-1800,96.45930367713477
340,-1800,95.83611465395214
355,-1800,95.22271402929962
370,-1800,94.61920521692589
385,-1800,94.02564911163157
400,-1800,93.44210599042431
415,-1800,92.86869491947768
430,-1800,92.30542546537993
445,-1800,91.75248208705929
460,-1800,91.20981628652538
475,-1800,90.67768490994897
490,-1800,90.15597426790798
505,-1800,89.64502035616785
520,-1800,89.14463740117051
535,-1800,88.65524707416179
550,-1800,88.17658486478071
565,-1800,87.70916440573633
580,-1800,87.25263604217224
595,-1800,86.80761141177102
610,-1800,86.37364955645857
625,-1800,85.95146591819578
640,-1800,85.54052232900891
655,-1800,85.14164358930333
670,-1800,84.75418866873306
685,-1800,84.37909703500361
700,-1800,84.0156193984299
715,-1800,83.66481495810633
730,-1800,83.32582102400733
745,-1800,82.99982134715249
760,-1800,82.6858349518017
775,-1800,82.38517471971916
790,-1800,82.09673675861077
805,-1800,81.82196742049622
820,-1800,81.55963551842139
835,-1800,81.31132497779288
850,-1800,81.07567318916173
865,-1800,80.85440552147554
880,-1800,80.64602406215472
895,-1800,80.45239926468619
910,-1800,80.27189427629125
925,-1800,80.10652805103314
940,-1800,79.95452139829118
955,-1800,79.81804496830082
970,-1800,79.69517406978265
985,-1800,79.58823402909547
1000,-1800,79.49515172130359
1015,-1800,79.41840991822795
1030,-1800,79.35578435273155
1045,-1800,79.30991780604722
1060,-1800,79.27843237906588
1075,-1800,79.26413322637136
1090,-1800,79.26448653994197
1105,-1800,79.28246201713333
1120,-1800,79.31536787073492
1135,-1800,79.36634032135348
1150,-1800,79.43252773263201
1165,-1800,79.51723464559245
1180,-1800,79.61744789860535
1195,-1800,79.73664197260693
1210,-1800,79.87164328849457
1225,-1800,80.0261028390356
1240,-1800,80.19667278814823
1255,-1800,80.38717167764106
1270,-1800,80.59409355739832
1285,-1800,80.82143075798972
1300,-1800,81.06551090521558
1315,-1800,81.33050108336592
1330,-1800,81.61256168744147
1345,-1800,81.91603537054145
1360,-1800,82.23691464403029
1375,-1800,82.57971840038147
1390,-1800,82.94027076180544
1405,-1800,83.32326739143649
1420,-1800,83.72436365766583
1435,-1800,84.1484323914333
1450,-1800,84.59095997714205
1465,-1800,85.05699668156333
1480,-1800,85.54185980321213
1495,-1800,86.05077718850144
1510,-1800,86.57889707034306
1525,-1800,87.1154718919553
1540,-1800,87.66052260141957
1555,-1800,88.21406985276373
1570,-1800,88.77613399446646
1585,-1800,89.34673505867183
1600,-1800,89.9258927511114
1615,-1800,90.51362644173015
1630,-1800,91.10995515601103
1645,-1800,91.71489756699224
1660,-1800,92.32847198796733
1675,-1800,92.9506963658614
1690,-1800,93.58158827527167
1705,-1800,94.22116491316078
1720,-1800,94.86944309419185
1735,-1800,95.52643924669002
1750,-1800,96.19216940921766
1765,-1800,96.86664922774683
1780,-1800,97.54989395341458
1795,-1800,98.24191844084258
-500,-1785,145.0946467349261
-485,-1785,143.95683468657947
-470,-1785,142.82822067301774
-455,-1785,141.7088049810852
-440,-1785,140.59858783802056
-425,-1785,139.49756940823497
-410,-1785,138.4057497900145
-395,-1785,137.32312901214934
-380,-1785,136.24970703048734
-365,-1785,135.185483724415
-350,-1785,134.13045889326503
-335,-1785,133.08463225265155
-320,-1785,132.0480034307343
-305,-1785,131.0205719644121
-290,-1785,130.00233729544829
-275,-1785,128.99329876652746
-260,-1785,127.9934556172475
-245,-1785,127.00280698004607
-230,-1785,126.02135187606605
-215,-1785,125.04908921095996
-200,-1785,124.08601777063751
-185,-1785,123.13213621695647
-170,-1785,122.18744308336264
-155,-1785,121.25193677047872
-140,-1785,120.32561554164765
-125,-1785,119.4084775184323
-110,-1785,118.500520676076
-95,-1785,117.60174283892685
-80,-1785,116.71214167583065
-65,-1785,115.83171469549646
-50,-1785,114.96045924183893
-35,-1785,114.09837248930276
-20,-1785,113.2454514381735
-5,-1785,112.40169290988098
10,-1785,111.56709393111188
25,-1785,110.74165207150757
40,-1785,109.92536277882733
55,-1785,109.11822713908845
70,-1785,108.32024049987048
85,-1785,107.53141874270692
100,-1785,106.75180243680035
115,-1785,105.98134190580673
130,-1785,105.22017033654585
145,-1785,104.46817113784218
160,-1785,103.72551816156823
175,-1785,102.9920889341055
190,-1785,102.26807159233434
205,-1785,101.55334658601107
220,-1785,100.8481074477178
235,-1785,100.15224620104536
250,-1785,99.46595302859001
265,-1785,98.78914001034332
280,-1785,98.12198539062652
295,-1785,97.46442960877012
310,-1785,96.81663055303537
325,-1785,96.17856513451699
340,-1785,95.55036265049795
355,-1785,94.93204439575659
370,-1785,94.3237030361012
385,-1785,93.72541195233799
400,-1785,93.13721934342013
415,-1785,92.55925816082537
430,-1785,91.9915245161806
445,-1785,91.4342181914087
460,-1785,90.88727581410005
475,-1785,90.35097102531908
490,-1785,89.82517380355978
505,-1785,89.31023844139253
520,-1785,88.8059613417171
535,-1785,88.31278400032954
550,-1785,87.83042256252388
565,-1785,87.35941203500523
580,-1785,86.89938187288045
595,-1785,86.45096665491081
610,-1785,86.01370296683612
625,-1785,85.58833077244435
640,-1785,85.17428786534974
655,-1785,84.77242515834254
670,-1785,84.38207598866454
685,-1785,84.00420753304898
700,-1785,83.63804326782686
715,-1785,83.28467170027223
730,-1785,82.94320130131277
745,-1785,82.61484672839443
760,-1785,82.29859656211606
775,-1785,81.9957961847693
790,-1785,81.7053096600149
805,-1785,81.4286174272959
820,-1785,81.16445466307009
835,-1785,80.91444095698786
850,-1785,80.67717848173787
865,-1785,80.45442983457815
880,-1785,80.24466031829631
895,-1785,80.04977916351977
910,-1785,79.86811118360482
925,-1785,79.70171564106234
940,-1785,79.5487734825432
955,-1785,79.41149717842042
970,-1785,79.28792066881394
985,-1785,79.18041259039202
1000,-1785,79.0868569691489
1015,-1785,79.00978135415431
1030,-1785,78.94691717633688
1045,-1785,78.90095343635338
1060,-1785,78.86946650989547
1075,-1785,78.85530918702324
1090,-1785,78.85590054263982
1105,-1785,78.87425929831755
1120,-1785,78.90764519087112
1135,-1785,78.95924482552239
1150,-1785,79.02615676540678
1165,-1785,79.11173726733925
1180,-1785,79.21292208021657
1195,-1785,79.33323870198764
1210,-1785,79.46945861500834
1225,-1785,79.62529069948323
1240,-1785,79.79733427764928
1255,-1785,79.9894617069601
1270,-1785,80.19811230369231
1285,-1785,80.4273351339786
1300,-1785,80.67340195173027
1315,-1785,80.9405377533143
1330,-1785,81.22484596250563
1345,-1785,81.53072828914208
1360,-1785,81.8541192131754
1375,-1785,82.19959779653982
1390,-1785,82.5629291090646
1405,-1785,82.94887006411768
1420,-1785,83.35301599589788
1435,-1785,83.78030203446068
1450,-1785,84.22615358718181
1465,-1785,84.69568423705877
1480,-1785,85.1841494014274
1495,-1785,85.69684122843819
1510,-1785,86.22884520396006
1525,-1785,86.7693802436717
1540,-1785,87.31846781519704
1555,-1785,87.8761290764034
1570,-1785,88.44238486367958
1585,-1785,89.01725568095833
1600,-1785,89.6007616894801
1615,-1785,90.19292269829376
1630,-1785,90.79375815548826
1645,-1785,91.40328714014757
1660,-1785,92.0215283550203
1675,-1785,92.64850011989407
1690,-1785,93.28422036566259
1705,-1785,93.92870662907448
1720,-1785,94.58197604814836
1735,-1785,95.24404535824107
1750,-1785,95.9149308887535
1765,-1785,96.59464856045705
1780,-1785,97.28321388342334
1795,-1785,97.98064195554159
-500,-1770,145.23098927101165
-485,-1770,144.08339739866568
-470,-1770,142.94508583087853
-455,-1770,141.81605493481808
-440,-1770,140.69630501883228
-425,-1770,139.58583632915912
-410,-1770,138.48464904655998
-395,-1770,137.3927432828732
-380,-1770,136.31011907749107
-365,-1770,135.23677639375782
-350,-1770,134.1727151152917
-335,-1770,133.11793504222985
-320,-1770,132.0724358873991
-305,-1770,131.03621727241037
-290,-1770,130.00927872368226
-275,-1770,128.99161966839046
-260,-1770,127.98323943034922
-245,-1770,126.98413722582148
-230,-1770,125.99431215926555
-215,-1770,125.01376321901421
-200,-1770,124.0424892728935
-185,-1770,123.08048906378082
-170,-1770,122.12776120510657
-155,-1770,121.18430417630081
-140,-1770,120.25011631818992
-125,-1770,119.32519582834463
-110,-1770,118.4095407563854
-95,-1770,117.50314899924578
-80,-1770,116.60601829640171
-65,-1770,115.71814622506757
-50,-1770,114.8395301953655
-35,-1770,113.97016744547284
-20,-1770,113.11005503675143
-5,-1770,112.25918984886577
10,-1770,111.41756894423156
25,-1770,110.58518996849385
40,-1770,109.76204846276421
55,-1770,108.94814545823662
70,-1770,108.14347725623836
85,-1770,107.34805833540752
100,-1770,106.5619317533713
115,-1770,105.78504671235126
130,-1770,105.01753528759895
145,-1770,104.25928405715882
160,-1770,103.5104637964417
175,-1770,102.77095616177942
190,-1770,102.04094530802126
205,-1770,101.32031684422552
