robot_x_m,robot_y_m,channel,measure_result,svd_deg
-1400.0,600.0,9,direction,284.59
-1400.0,200.0,9,direction,291.52
-1400.0,200.0,7,direction,294.59
-1400.0,-200.0,9,direction,302.1
-1400.0,-200.0,7,direction,308.89
-1400.0,-200.0,15,direction,313.08
-1400.0,-600.0,9,direction,331.35
-1400.0,-600.0,7,direction,348.67
-1400.0,-600.0,15,direction,327.83
-1400.0,-1000.0,9,direction,27.35
-1400.0,-1000.0,7,direction,39.85
-1400.0,-1000.0,15,direction,348.71
-1000.0,-1400.0,9,direction,91.71
-1000.0,-1400.0,7,direction,91.35
-1000.0,-1400.0,15,direction,24.02
-1000.0,-1000.0,9,direction,96.64
-1000.0,-1000.0,7,direction,91.55
-1000.0,-1000.0,15,direction,340.7
-1000.0,-600.0,9,direction,262.56
-1000.0,-600.0,7,direction,266.71
-1000.0,-600.0,15,direction,309.98
-1000.0,-200.0,9,direction,267.37
-1000.0,-200.0,7,direction,270.14
-1000.0,-200.0,15,direction,296.0
-1000.0,200.0,9,direction,268.57
-1000.0,200.0,7,direction,269.7
-1000.0,200.0,15,direction,289.42
-1000.0,600.0,9,direction,269.49
-1000.0,1000.0,13,direction,37.39
-1000.0,1400.0,13,direction,20.57
-600.0,1400.0,13,direction,31.77
-600.0,1400.0,20,direction,5.33
-600.0,1000.0,13,direction,53.76
-600.0,1000.0,20,direction,24.01
-600.0,1000.0,3,direction,338.83
-600.0,600.0,13,direction,63.31
-600.0,600.0,9,direction,252.58
-600.0,600.0,3,direction,357.88
-600.0,200.0,9,direction,247.86
-600.0,200.0,3,direction,16.59
-600.0,200.0,7,direction,245.66
-600.0,200.0,15,direction,273.05
-600.0,-200.0,9,direction,235.49
-600.0,-200.0,7,direction,229.62
-600.0,-200.0,15,direction,276.54
-600.0,-600.0,9,direction,206.26
-600.0,-600.0,7,direction,191.19
-600.0,-600.0,15,direction,280.46
-600.0,-1000.0,1,direction,353.17
-600.0,-1000.0,9,direction,155.93
-600.0,-1000.0,7,direction,141.59
-600.0,-1000.0,15,direction,298.55
-600.0,-1400.0,1,direction,13.55
-600.0,-1400.0,9,direction,124.61
-600.0,-1400.0,7,direction,119.67
-600.0,-1400.0,15,direction,65.71
-200.0,-1400.0,1,direction,19.35
-200.0,-1400.0,9,direction,144.15
-200.0,-1400.0,7,direction,137.8
-200.0,-1400.0,15,direction,143.89
-200.0,-1000.0,1,direction,348.65
-200.0,-1000.0,9,direction,167.53
-200.0,-1000.0,7,direction,158.96
-200.0,-1000.0,15,direction,210.08
-200.0,-600.0,1,direction,323.57
-200.0,-600.0,9,direction,193.09
-200.0,-600.0,7,direction,185.52
-200.0,-600.0,15,direction,242.61
-200.0,-200.0,1,direction,308.21
-200.0,-200.0,9,direction,216.43
-200.0,-200.0,3,direction,46.78
-200.0,-200.0,7,direction,209.72
-200.0,-200.0,11,direction,41.28
-200.0,-200.0,15,direction,252.02
-200.0,200.0,9,direction,231.09
-200.0,200.0,3,direction,25.06
-200.0,200.0,7,direction,226.62
-200.0,200.0,11,direction,20.26
-200.0,200.0,15,direction,258.42
-200.0,600.0,13,direction,81.87
-200.0,600.0,20,direction,51.6
-200.0,600.0,3,direction,355.63
-200.0,600.0,11,direction,352.81
-200.0,1000.0,13,direction,77.69
-200.0,1000.0,20,direction,35.96
-200.0,1000.0,3,direction,328.01
-200.0,1000.0,11,direction,328.78
-200.0,1400.0,13,direction,64.35
-200.0,1400.0,20,direction,9.64
-200.0,1400.0,3,direction,310.62
200.0,1400.0,5,direction,339.58
200.0,1400.0,13,direction,120.38
200.0,1400.0,20,direction,19.83
200.0,1400.0,3,direction,290.5
200.0,1400.0,11,direction,294.78
200.0,1000.0,5,direction,5.55
200.0,1000.0,13,direction,105.34
200.0,1000.0,20,direction,58.36
200.0,1000.0,3,direction,305.31
200.0,1000.0,11,direction,309.33
200.0,600.0,5,direction,31.68
200.0,600.0,13,direction,100.63
200.0,600.0,20,direction,71.21
200.0,600.0,3,direction,350.1
200.0,600.0,11,direction,346.67
200.0,200.0,3,direction,46.76
200.0,200.0,11,direction,38.07
200.0,-200.0,1,direction,288.99
200.0,-200.0,9,direction,207.21
200.0,-200.0,3,direction,66.0
200.0,-200.0,11,direction,59.45
200.0,-200.0,15,direction,233.84
200.0,-600.0,1,direction,300.22
200.0,-600.0,9,direction,190.14
200.0,-600.0,3,direction,75.09
200.0,-600.0,7,direction,184.26
200.0,-600.0,15,direction,220.24
200.0,-1000.0,1,direction,336.1
200.0,-1000.0,9,direction,170.42
200.0,-1000.0,15,direction,194.75
200.0,-1400.0,1,direction,39.68
200.0,-1400.0,9,direction,153.45
200.0,-1400.0,15,direction,162.99
600.0,-1400.0,1,direction,108.11
600.0,-1400.0,15,direction,169.55
600.0,-1000.0,1,direction,238.43
600.0,-1000.0,15,direction,188.98
600.0,-600.0,1,direction,261.72
600.0,-600.0,3,direction,94.24
600.0,-600.0,11,direction,90.38
600.0,-600.0,15,direction,207.14
600.0,-200.0,1,direction,264.46
600.0,-200.0,3,direction,95.73
600.0,-200.0,11,direction,89.41
600.0,-200.0,15,direction,220.65
600.0,200.0,5,direction,64.79
600.0,200.0,10,direction,359.34
600.0,200.0,20,direction,93.91
600.0,200.0,3,direction,102.8
600.0,200.0,11,direction,89.9
600.0,600.0,5,direction,51.55
600.0,600.0,13,direction,116.88
600.0,600.0,20,direction,94.86
600.0,600.0,3,direction,214.05
600.0,600.0,11,direction,269.72
