audit_ok,clear_ratio,cleared,complete_proof,completion_kind,error,exit_per_source_s,exit_s,full_clear,index,last_clear_per_source_s,last_clear_s,n_clear_failure,n_clear_success,n_measure,n_rejected,n_sources,n_switch,policy,scenario,seed,split,status,t_clear_s,t_measure_s,t_switch_s,t_travel_s,tail_s,trace_file,travel_m,wall_s,wall_within_1200s
True,1.0,12,True,continuous_cell,,257.5484600823773,3090.5815209885277,True,0,231.73619791541773,2780.834374985013,0,12,130,0,12,126,joint_no_after_service,random,2026091200,ablation,ok,60.0,650.0,126.0,2254.581520988528,309.7471460035149,traces/ablation_random_000_2026091200_joint_no_after_service.json,11272.90760494264,0.6389651298522949,True
True,1.0,12,True,continuous_cell,,259.646526016452,3115.758312197424,True,0,233.1043231413258,2797.2518776959096,1,12,142,0,12,137,joint_no_cover_polish,random,2026091200,ablation,ok,63.0,710.0,137.0,2205.758312197425,318.5064345015144,traces/ablation_random_000_2026091200_joint_no_cover_polish.json,11028.791560987123,0.2796480655670166,True
True,1.0,12,True,continuous_cell,,256.01518435634483,3072.182212276138,True,0,230.10066008756885,2761.2079210508264,1,12,136,0,12,129,joint_no_probability_gate,random,2026091200,ablation,ok,63.0,680.0,129.0,2200.182212276139,310.97429122531184,traces/ablation_random_000_2026091200_joint_no_probability_gate.json,11000.911061380695,0.6047520637512207,True
True,1.0,12,True,continuous_cell,,264.8127837739356,3177.7534052872275,True,0,239.4703579790753,2873.6442957489035,1,12,157,0,12,152,joint_single_plan,random,2026091200,ablation,ok,63.0,785.0,152.0,2177.7534052872275,304.109109538324,traces/ablation_random_000_2026091200_joint_single_plan.json,10888.767026436137,0.21776199340820312,True
True,1.0,15,True,continuous_cell,,210.32035630459586,3154.805344568938,True,1,210.32035630459586,3154.805344568938,3,15,131,0,15,127,joint_no_after_service,random,2026091297,ablation,ok,84.0,655.0,127.0,2288.805344568937,0.0,traces/ablation_random_001_2026091297_joint_no_after_service.json,11444.026722844685,0.5541017055511475,True
True,1.0,15,True,continuous_cell,,205.83768158001712,3087.565223700257,True,1,205.83768158001712,3087.565223700257,8,15,139,0,15,133,joint_no_cover_polish,random,2026091297,ablation,ok,99.0,695.0,133.0,2160.565223700258,0.0,traces/ablation_random_001_2026091297_joint_no_cover_polish.json,10802.826118501289,0.3042900562286377,True
True,1.0,15,True,continuous_cell,,216.256006112861,3243.840091692915,True,1,216.256006112861,3243.840091692915,4,15,147,0,15,141,joint_no_probability_gate,random,2026091297,ablation,ok,87.0,735.0,141.0,2280.840091692916,0.0,traces/ablation_random_001_2026091297_joint_no_probability_gate.json,11404.200458464578,0.4973409175872803,True
True,1.0,15,True,continuous_cell,,234.66759735079876,3520.0139602619815,True,1,221.37347407125287,3320.602111068793,4,15,135,0,15,125,joint_single_plan,random,2026091297,ablation,ok,87.0,675.0,125.0,2633.0139602619815,199.41184919318857,traces/ablation_random_001_2026091297_joint_single_plan.json,13165.069801309908,0.2532308101654053,True
True,1.0,14,True,continuous_cell,,199.8259922085155,2797.5638909192166,True,2,197.2545636291825,2761.5638908085552,1,14,109,0,14,106,joint_no_after_service,random,2026091394,ablation,ok,73.0,545.0,106.0,2073.563890919216,36.000000110661404,traces/ablation_random_002_2026091394_joint_no_after_service.json,10367.819454596081,0.810150146484375,True
True,1.0,14,True,continuous_cell,,208.37767905690663,2917.287506796693,True,2,208.37767905690663,2917.287506796693,4,14,117,0,14,114,joint_no_cover_polish,random,2026091394,ablation,ok,82.0,585.0,114.0,2136.2875067966925,0.0,traces/ablation_random_002_2026091394_joint_no_cover_polish.json,10681.437533983462,0.3229548931121826,True
