robot_x_m,robot_y_m,channel,measure_result,svd_deg
-1400.0,1000.0,1,direction,338.35
-1400.0,1000.0,15,direction,278.98
-1400.0,1000.0,14,direction,284.16
-1400.0,1000.0,2,direction,355.53
-1400.0,600.0,1,direction,57.6
-1400.0,600.0,15,direction,285.01
-1400.0,600.0,14,direction,299.89
-1400.0,600.0,2,direction,20.63
-1400.0,200.0,1,direction,73.31
-1400.0,200.0,15,direction,310.55
-1400.0,200.0,14,direction,36.46
-1400.0,200.0,2,direction,39.88
-1400.0,200.0,17,direction,344.28
-1400.0,-200.0,15,direction,54.38
-1400.0,-200.0,14,direction,73.05
-1400.0,-200.0,17,direction,0.64
-1400.0,-600.0,15,direction,76.61
-1400.0,-600.0,14,direction,80.77
-1400.0,-600.0,17,direction,16.51
-1400.0,-1000.0,15,direction,81.2
-1000.0,-1000.0,15,direction,102.92
-1000.0,-1000.0,17,direction,39.22
-1000.0,-600.0,15,direction,112.25
-1000.0,-600.0,14,direction,103.65
-1000.0,-600.0,17,direction,22.61
-1000.0,-200.0,15,direction,138.59
-1000.0,-200.0,14,direction,114.01
-1000.0,-200.0,2,direction,67.64
-1000.0,-200.0,17,direction,0.03
-1000.0,200.0,1,direction,105.32
-1000.0,200.0,15,direction,215.73
-1000.0,200.0,14,direction,152.84
-1000.0,200.0,2,direction,56.89
-1000.0,200.0,17,direction,338.65
-1000.0,600.0,1,direction,120.42
-1000.0,600.0,12,direction,16.68
-1000.0,600.0,15,direction,246.86
-1000.0,600.0,14,direction,229.96
-1000.0,600.0,2,direction,35.11
-1000.0,600.0,17,direction,321.18
-1000.0,1000.0,1,direction,202.9
-1000.0,1000.0,12,direction,0.16
-1000.0,1000.0,15,direction,255.53
-1000.0,1000.0,14,direction,250.55
-1000.0,1000.0,2,direction,352.28
-1000.0,1400.0,1,direction,248.13
-1000.0,1400.0,12,direction,343.55
-1000.0,1400.0,14,direction,258.55
-1000.0,1400.0,2,direction,313.96
-600.0,1400.0,1,direction,219.7
-600.0,1400.0,12,direction,336.77
-600.0,1400.0,2,direction,276.36
-600.0,1000.0,1,direction,187.05
-600.0,1000.0,12,direction,359.56
-600.0,1000.0,15,direction,236.93
-600.0,1000.0,14,direction,227.81
-600.0,1000.0,2,direction,310.92
-600.0,1000.0,17,direction,295.49
-600.0,600.0,1,direction,150.83
-600.0,600.0,12,direction,23.36
-600.0,600.0,9,direction,325.75
-600.0,600.0,15,direction,221.66
-600.0,600.0,14,direction,204.08
-600.0,600.0,2,direction,80.55
-600.0,600.0,17,direction,306.66
-600.0,200.0,1,direction,128.9
-600.0,200.0,12,direction,40.09
-600.0,200.0,9,direction,344.07
-600.0,200.0,15,direction,195.28
-600.0,200.0,14,direction,169.02
-600.0,200.0,2,direction,85.09
-600.0,200.0,17,direction,325.57
-600.0,-200.0,9,direction,7.29
-600.0,-200.0,15,direction,161.12
-600.0,-200.0,14,direction,141.23
-600.0,-200.0,2,direction,87.41
-600.0,-200.0,17,direction,359.37
-600.0,-200.0,16,direction,349.24
-600.0,-600.0,9,direction,30.32
-600.0,-600.0,15,direction,135.81
-600.0,-600.0,14,direction,123.98
-600.0,-600.0,17,direction,34.97
-600.0,-600.0,16,direction,5.2
-600.0,-1000.0,15,direction,121.73
-600.0,-1000.0,17,direction,54.08
-600.0,-1400.0,17,direction,63.38
-200.0,-1400.0,17,direction,81.56
-200.0,-1400.0,16,direction,42.82
-200.0,-1000.0,9,direction,59.8
-200.0,-1000.0,17,direction,76.22
-200.0,-1000.0,16,direction,28.81
-200.0,-1000.0,7,direction,22.15
-200.0,-600.0,9,direction,44.22
-200.0,-600.0,15,direction,150.1
-200.0,-600.0,17,direction,63.82
-200.0,-600.0,16,direction,7.87
-200.0,-600.0,7,direction,358.43
-200.0,-200.0,12,direction,65.24
-200.0,-200.0,9,direction,14.51
-200.0,-200.0,15,direction,169.19
-200.0,-200.0,14,direction,154.3
-200.0,-200.0,2,direction,107.23
-200.0,-200.0,3,direction,12.24
-200.0,-200.0,17,direction,0.76
-200.0,-200.0,16,direction,346.25
-200.0,-200.0,7,direction,335.48
-200.0,200.0,12,direction,54.98
-200.0,200.0,9,direction,333.96
-200.0,200.0,15,direction,189.64
-200.0,200.0,14,direction,172.91
-200.0,200.0,2,direction,114.39
-200.0,200.0,3,direction,354.82
-200.0,200.0,17,direction,294.94
-200.0,200.0,16,direction,327.72
-200.0,600.0,1,direction,161.52
-200.0,600.0,12,direction,35.35
-200.0,600.0,9,direction,309.74
-200.0,600.0,15,direction,208.71
-200.0,600.0,4,direction,4.12
-200.0,600.0,14,direction,195.09
-200.0,600.0,2,direction,135.07
-200.0,600.0,3,direction,339.76
-200.0,600.0,17,direction,284.36
-200.0,1000.0,1,direction,184.95
-200.0,1000.0,12,direction,359.88
-200.0,1000.0,9,direction,296.41
-200.0,1000.0,2,direction,192.03
-200.0,1000.0,17,direction,279.83
-200.0,1400.0,12,direction,323.75
-200.0,1400.0,2,direction,234.36
200.0,1400.0,12,direction,289.47
200.0,1400.0,4,direction,313.3
200.0,1400.0,2,direction,211.65
200.0,1000.0,12,direction,356.86
200.0,1000.0,9,direction,278.44
200.0,1000.0,4,direction,334.53
200.0,1000.0,2,direction,185.59
200.0,1000.0,3,direction,315.71
200.0,1000.0,17,direction,260.67
200.0,600.0,12,direction,69.87
200.0,600.0,9,direction,281.81
200.0,600.0,4,direction,5.82
200.0,600.0,2,direction,155.87
200.0,600.0,3,direction,332.36
200.0,600.0,17,direction,254.51
200.0,600.0,16,direction,298.99
200.0,200.0,12,direction,78.82
200.0,200.0,9,direction,297.92
200.0,200.0,4,direction,35.21
200.0,200.0,2,direction,136.3
200.0,200.0,3,direction,352.78
200.0,200.0,17,direction,242.77
200.0,200.0,16,direction,312.69
200.0,200.0,7,direction,301.78
200.0,-200.0,12,direction,82.49
200.0,-200.0,9,direction,43.88
200.0,-200.0,4,direction,53.28
200.0,-200.0,3,direction,16.98
200.0,-200.0,17,direction,179.3
200.0,-200.0,16,direction,337.42
200.0,-200.0,7,direction,319.77
200.0,-600.0,9,direction,74.85
200.0,-600.0,3,direction,36.04
200.0,-600.0,17,direction,117.12
200.0,-600.0,16,direction,13.26
200.0,-600.0,7,direction,356.18
200.0,-1000.0,9,direction,80.55
200.0,-1000.0,17,direction,103.85
200.0,-1000.0,16,direction,41.5
200.0,-1000.0,7,direction,36.01
200.0,-1400.0,17,direction,99.8
200.0,-1400.0,16,direction,56.59
200.0,-1400.0,7,direction,56.97
600.0,-1400.0,17,direction,115.95
600.0,-1400.0,16,direction,77.5
600.0,-1400.0,7,direction,80.98
600.0,-1000.0,9,direction,106.02
600.0,-1000.0,3,direction,63.22
600.0,-1000.0,17,direction,126.28
600.0,-1000.0,16,direction,70.12
600.0,-1000.0,7,direction,73.23
600.0,-600.0,9,direction,114.91
600.0,-600.0,3,direction,52.42
600.0,-600.0,17,direction,146.32
600.0,-600.0,16,direction,36.94
600.0,-600.0,7,direction,346.31
600.0,-200.0,12,direction,102.16
600.0,-200.0,9,direction,151.38
600.0,-200.0,4,direction,72.47
600.0,-200.0,3,direction,28.27
600.0,-200.0,17,direction,179.06
600.0,-200.0,16,direction,309.29
600.0,-200.0,7,direction,285.79
600.0,200.0,12,direction,108.49
600.0,200.0,9,direction,226.14
600.0,200.0,4,direction,60.84
600.0,200.0,3,direction,347.74
600.0,200.0,17,direction,214.21
600.0,200.0,16,direction,287.97
600.0,200.0,7,direction,277.4
600.0,600.0,12,direction,122.95
600.0,600.0,9,direction,249.6
600.0,600.0,4,direction,15.36
600.0,600.0,2,direction,163.56
600.0,600.0,3,direction,315.97
600.0,600.0,17,direction,232.87
600.0,600.0,16,direction,280.27
600.0,1000.0,12,direction,181.74
600.0,1000.0,9,direction,256.87
600.0,1000.0,4,direction,310.65
600.0,1000.0,2,direction,182.85
600.0,1000.0,3,direction,299.95
600.0,1000.0,17,direction,242.69
600.0,1400.0,12,direction,238.68
600.0,1400.0,4,direction,290.8
600.0,1400.0,2,direction,201.95
600.0,1400.0,3,direction,291.51
1000.0,1400.0,12,direction,211.13
1000.0,1400.0,4,direction,260.78
1000.0,1400.0,3,direction,277.03
1000.0,1000.0,12,direction,180.31
1000.0,1000.0,4,direction,249.22
1000.0,1000.0,3,direction,278.63
1000.0,600.0,12,direction,149.9
1000.0,600.0,9,direction,225.8
1000.0,600.0,4,direction,149.87
1000.0,600.0,3,direction,285.72
1000.0,600.0,17,direction,217.68
