"a","b","d_m"
-500,-1800,128.47424103799426
-485,-1800,127.47096243966233
-470,-1800,126.4766552862719
-455,-1800,125.49131965963073
-440,-1800,124.51495555191775
-425,-1800,123.54756286242079
-410,-1800,122.58914139422272
-395,-1800,121.63969085083806
-380,-1800,120.6992108328016
-365,-1800,119.76770083421141
-350,-1800,118.84516023922909
-335,-1800,117.93158831853877
-320,-1800,117.0269842257685
-305,-1800,116.13134699387676
-290,-1800,115.24467553150669
-275,-1800,114.36696861931259
-260,-1800,113.49822490626093
-245,-1800,112.63844290591075
-230,-1800,111.78762099267666
-215,-1800,110.9457573980796
-200,-1800,110.1128502069889
-185,-1800,109.2888973538609
-170,-1800,108.47389661897928
-155,-1800,107.66784562470153
-140,-1800,106.87074183171778
-125,-1800,106.08258253532729
-110,-1800,105.30336486173819
-95,-1800,104.53308576439737
-80,-1800,103.77174202035599
-65,-1800,103.01933022667784
-50,-1800,102.27584679689707
-35,-1800,101.5412879575323
-20,-1800,100.81564974466428
-5,-1800,100.09892800058495
10,-1800,99.39111840281873
25,-1800,98.69221785597641
40,-1800,98.00222739439043
55,-1800,97.32115279674332
70,-1800,96.6490045851817
85,-1800,95.98579801604295
100,-1800,95.3315530686778
115,-1800,94.68629443239772
130,-1800,94.05005149158129
145,-1800,93.42285830897808
160,-1800,92.80475360725316
175,-1800,92.1957807488203
190,-1800,91.59598771401504
205,-1800,91.00542707766438
220,-1800,90.42415598411186
235,-1800,89.8522361207622
250,-1800,89.28973369021143
265,-1800,88.73671938103303
280,-1800,88.19326833729177
295,-1800,87.65946012686133
310,-1800,87.13537870862235
325,-1800,86.62111239862115
340,-1800,86.11675383526953
355,-1800,85.62239994366874
370,-1800,85.13815189914139
385,-1800,84.66411509005535
400,-1800,84.20039908002533
415,-1800,83.74711756957718
430,-1800,83.30438835736018
445,-1800,82.87233330099261
460,-1800,82.45107827762469
475,-1800,82.04075314430295
490,-1800,81.64149169821772
505,-1800,81.25343163691572
520,-1800,80.87671451855672
535,-1800,80.5114857222922
550,-1800,80.1578944088416
565,-1800,79.81609348133968
580,-1800,79.48623954652616
595,-1800,79.16849287634578
610,-1800,78.86301737002489
625,-1800,78.56998051668715
640,-1800,78.28955335856828
655,-1800,78.0219104548865
670,-1800,77.76722984642215
685,-1800,77.5256930208566
700,-1800,77.29748487891725
715,-1800,77.08279370137174
730,-1800,76.88181111691156
745,-1800,76.69473207096071
760,-1800,76.52175479544286
775,-1800,76.3630807795355
790,-1800,76.21891474143735
805,-1800,76.08946460117053
820,-1800,75.97494145443663
835,-1800,75.87555954754144
850,-1800,75.79153625340042
865,-1800,75.7230920486331
880,-1800,75.67045049175167
895,-1800,75.63383820244562
910,-1800,75.61348484196161
925,-1800,75.60962309457378
940,-1800,75.62248865013811
955,-1800,75.6523201877206
970,-1800,75.69935936028662
985,-1800,75.76385078043664
1000,-1800,75.84604200717042
1015,-1800,75.9461367938424
1030,-1800,76.06413729739162
1045,-1800,76.19998755451581
1060,-1800,76.35361877815791
1075,-1800,76.52494913989842
1090,-1800,76.71388355642567
1105,-1800,76.9203134799106
1120,-1800,77.1441166921142
1135,-1800,77.38515710205515
1150,-1800,77.64328454706657
1165,-1800,77.91833459707222
1180,-1800,78.2101283619136
1195,-1800,78.51847230156197
1210,-1800,78.8431580390505
1225,-1800,79.18396217596539
1240,-1800,79.54064611033667
1255,-1800,79.9129558567721
1270,-1800,80.30062186868155
1285,-1800,80.70335886244199
1300,-1800,81.1208656433564
1315,-1800,81.55282493326412
1330,-1800,81.99890319966379
1345,-1800,82.45875048621318
1360,-1800,82.93200024447536
1375,-1800,83.41826916678355
1390,-1800,83.91715702010177
1405,-1800,84.42824648076287
1420,-1800,84.95110296996855
1435,-1800,85.48527448994152
1450,-1800,86.0302914606239
1465,-1800,86.58566655681933
1480,-1800,87.1508945456823
1495,-1800,87.72545212446056
1510,-1800,88.30882764753288
1525,-1800,88.90082379942652
1540,-1800,89.50144909533026
1555,-1800,90.11071770170486
1570,-1800,90.72864350060804
1585,-1800,91.35524008502243
1600,-1800,91.99052075471266
1615,-1800,92.63449851259995
1630,-1800,93.28718606164242
1645,-1800,93.94859580220766
1660,-1800,94.61873982992464
1675,-1800,95.29762993400077
1690,-1800,95.98527759598943
1705,-1800,96.68169398899346
1720,-1800,97.38688997728906
1735,-1800,98.10087611635443
1750,-1800,98.82366265328794
1765,-1800,99.55525952759882
1780,-1800,100.29567637235539
1795,-1800,101.04492251567359
-500,-1785,128.47019718591324
-485,-1785,127.45846102324698
-470,-1785,126.45577517300063
-455,-1785,125.46213979983074
-440,-1785,124.4775549783098
-425,-1785,123.50202068956841
-410,-1785,122.53553681788193
-395,-1785,121.57810314720363
-380,-1785,120.6297193576461
-365,-1785,119.69038502191327
-350,-1785,118.76009960168518
-335,-1785,117.83886244395816
-320,-1785,116.92667277734331
-305,-1785,116.02352970832573
-290,-1785,115.12943221748834
-275,-1785,114.24437915570334
-260,-1785,113.36836924029488
-245,-1785,112.50140105117696
-230,-1785,111.64347302697068
-215,-1785,110.794583461105
-200,-1785,109.95473049790574
-185,-1785,109.12391212867753
-170,-1785,108.3021261877839
-155,-1785,107.48937034873065
-140,-1785,106.68564212025827
-125,-1785,105.89093884244902
-110,-1785,105.10525768285476
-95,-1785,104.32859563265197
-80,-1785,103.56094950283038
-65,-1785,102.80231592042192
-50,-1785,102.05269132477726
-35,-1785,101.31207196389687
-20,-1785,100.58045389082446
-5,-1785,99.85783296011016
10,-1785,99.14420485691677
25,-1785,98.43956650040843
40,-1785,97.74391897060411
55,-1785,97.0572681279673
70,-1785,96.37962461227393
85,-1785,95.71100383298752
100,-1785,95.05142595768028
115,-1785,94.40091589853054
130,-1785,93.75950329693164
145,-1785,93.12722250625278
160,-1785,92.50411257279711
175,-1785,91.89021721500649
190,-1785,91.28558480096702
205,-1785,90.69026832427384
220,-1785,90.10432537831734
235,-1785,89.52781812905666
250,-1785,88.96081328635026
265,-1785,88.40338207391605
280,-1785,87.85560019799662
295,-1785,87.31754781480824
310,-1785,86.78930949685383
325,-1785,86.27097419818293
340,-1785,85.76263521868313
355,-1785,85.26439016748843
370,-1785,84.77634092559236
385,-1785,84.29859360775295
400,-1785,83.83125852377846
415,-1785,83.37445013928225
430,-1785,82.9282870359955
445,-1785,82.49289187172563
460,-1785,82.06839134004841
475,-1785,81.65491612981972
490,-1785,81.25260088459305
505,-1785,80.86158416202585
520,-1785,80.4820083933575
535,-1785,80.11401984303897
550,-1785,79.75776856859234
565,-1785,79.41340838077548
580,-1785,79.08109680412583
595,-1785,78.76099503795302
610,-1785,78.45326791784812
625,-1785,78.1580838777741
640,-1785,77.87561491279857
655,-1785,77.60603654252694
670,-1785,77.34952777529055
685,-1785,77.10627107314086
700,-1785,76.8764523176972
715,-1785,76.66026077689219
730,-1785,76.45788907265468
745,-1785,76.26953314956724
760,-1785,76.09539224453074
775,-1785,75.93566885746525
790,-1785,75.79056872307268
805,-1785,75.66030078368303
820,-1785,75.54507716320212
835,-1785,75.44511314217579
850,-1785,75.36062713398088
865,-1785,75.2918406621512
880,-1785,75.23897833884216
895,-1785,75.20226784443501
910,-1785,75.18193990827821
925,-1785,75.1782282905606
940,-1785,75.1913697653075
955,-1785,75.22160410448859
970,-1785,75.26917406322322
985,-1785,75.33432536606622
1000,-1785,75.417306694355
1015,-1785,75.5183226365211
1030,-1785,75.63737490051186
1045,-1785,75.77440672230213
1060,-1785,75.92934845561531
1075,-1785,76.10211735500893
1090,-1785,76.29261736303434
1105,-1785,76.50073890129217
1120,-1785,76.72635866520623
1135,-1785,76.9693394223385
1150,-1785,77.22952981406945
1165,-1785,77.50676416046954
1180,-1785,77.8008622681892
1195,-1785,78.11162924119682
1210,-1785,78.43885529419686
1225,-1785,78.78231556856234
1240,-1785,79.14176995061986
1255,-1785,79.51696289212698
1270,-1785,79.90762323278648
1285,-1785,80.31346402464484
1300,-1785,80.73418235822587
1315,-1785,81.16945919025451
1330,-1785,81.61895917283003
1345,-1785,82.08233048391085
1360,-1785,82.5592046589789
1375,-1785,83.04919642375431
1390,-1785,83.55190352783642
1405,-1785,84.06690657915092
1420,-1785,84.59376887908775
1435,-1785,85.13203625821858
1450,-1785,85.68123691248721
1465,-1785,86.24088123977067
1480,-1785,86.81046167671336
1495,-1785,87.38945253574082
1510,-1785,87.97733987846102
1525,-1785,88.57392566887017
1540,-1785,89.17921871121061
1555,-1785,89.79323347711751
1570,-1785,90.41598414063671
1585,-1785,91.04748457358858
1600,-1785,91.68774834148368
1615,-1785,92.33678869997655
1630,-1785,92.99461859184565
1645,-1785,93.6612506444846
1660,-1785,94.3366971678908
1675,-1785,95.02097015313629
1690,-1785,95.71408127130526
1705,-1785,96.41604187288216
1720,-1785,97.12686298757444
1735,-1785,97.84655532455294
1750,-1785,98.57512927309341
1765,-1785,99.3125949036021
1780,-1785,100.05896196900787
1795,-1785,100.8142399065044
-500,-1770,128.47474593942997
-485,-1770,127.45440503554347
-470,-1770,126.44319464599832
-455,-1770,125.44111502170843
-440,-1770,124.44816632310727
-425,-1770,123.46434861669233
-410,-1770,122.48966187151078
-395,-1770,121.52410595558709
-380,-1770,120.56768063229515
-365,-1770,119.62038555667661
-350,-1770,118.68222027170793
-335,-1770,117.75318420451877
-320,-1770,116.83327666256433
-305,-1770,115.9224968297544
-290,-1770,115.02084376254301
-275,-1770,114.12831638598138
-260,-1770,113.24491348973802
-245,-1770,112.37063372409028
-230,-1770,111.505475595891
-215,-1770,110.64943746451499
-200,-1770,109.80251753778981
-185,-1770,108.96471386791579
-170,-1770,108.13602434738067
-155,-1770,107.3164467048741
-140,-1770,106.50597850120748
-125,-1770,105.70461712524572
-110,-1770,104.91235978985655
-95,-1770,104.12920352788396
-80,-1770,103.35514518815299
-65,-1770,102.590181431512
-50,-1770,101.83430872692075
