x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
0.0,-1800.0,1800.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-300.0,-1770.0,1795.2437,260.3803,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-270.0,-1770.0,1790.4748,261.3268,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1770.0,1786.1971,262.2782,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-210.0,-1770.0,1782.4141,263.2338,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-180.0,-1770.0,1779.129,264.1933,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-150.0,-1770.0,1776.3446,265.156,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-120.0,-1770.0,1774.0631,266.1215,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-90.0,-1770.0,1772.2867,267.0892,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-60.0,-1770.0,1771.0167,268.0585,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-30.0,-1770.0,1770.2542,269.029,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
0.0,-1770.0,1770.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
30.0,-1770.0,1770.2542,270.971,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
60.0,-1770.0,1771.0167,271.9415,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
90.0,-1770.0,1772.2867,272.9108,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
