audit_ok,clear_ratio,cleared,complete_proof,completion_kind,error,exit_per_source_s,exit_s,full_clear,index,last_clear_per_source_s,last_clear_s,n_clear_failure,n_clear_success,n_measure,n_rejected,n_sources,n_switch,policy,scenario,seed,split,status,t_clear_s,t_measure_s,t_switch_s,t_travel_s,tail_s,trace_file,travel_m,wall_s,wall_within_1200s
True,1.0,12,,field,,420.25263436096776,5043.031612331613,True,0,290.29426243639847,3483.5311492367814,0,12,189,0,12,183,field,random,2026091200,main,ok,60.0,945.0,183.0,3855.0316123316106,1559.500463094832,traces\main_random_000_2026091200_field.json,19275.158061658054,0.16971099999864236,True
True,1.0,12,,sweep,,316.13308504062536,3793.5970204875043,True,0,316.13308504062536,3793.5970204875043,0,12,118,0,12,115,sweep,random,2026091200,main,ok,60.0,590.0,115.0,3028.5970204875057,0.0,traces\main_random_000_2026091200_sweep.json,15142.98510243753,0.17694029999984195,True
True,1.0,12,True,tour,,359.6883717136368,4316.260460563642,True,0,359.6883717136368,4316.260460563642,3,12,205,0,12,203,tour,random,2026091200,main,ok,69.0,1025.0,203.0,3019.260460563641,0.0,traces\main_random_000_2026091200_tour.json,15096.302302818205,0.8913345000000845,True
True,1.0,12,True,continuous_cell,,279.73008366675293,3356.761004001035,True,0,260.94309118368386,3131.317094204206,0,12,186,0,12,184,adaptive,random,2026091200,main,ok,60.0,930.0,184.0,2182.761004001035,225.44390979682885,traces\main_random_000_2026091200_adaptive.json,10913.805020005175,0.7566356000006635,True
True,1.0,12,True,continuous_cell,,256.2028493078802,3074.4341916945623,True,0,237.38534001056678,2848.6240801268013,1,12,142,0,12,135,joint,random,2026091200,main,ok,63.0,710.0,135.0,2166.434191694562,225.81011156776094,traces\main_random_000_2026091200_joint.json,10832.170958472809,2.44010150000031,True
True,1.0,15,,field,,330.29759602311555,4954.463940346734,True,1,214.73466472220173,3221.019970833026,0,15,166,0,15,157,field,random,2026091297,main,ok,75.0,830.0,157.0,3892.463940346729,1733.4439695137075,traces\main_random_001_2026091297_field.json,19462.319701733646,0.16972830000122485,True
True,1.0,15,,sweep,,279.1707397901434,4187.5610968521505,True,1,278.3707397901434,4175.5610968521505,0,15,150,0,15,147,sweep,random,2026091297,main,ok,75.0,750.0,147.0,3215.561096852152,12.0,traces\main_random_001_2026091297_sweep.json,16077.80548426076,0.24373879999984638,True
True,1.0,15,True,tour,,282.01490574287715,4230.223586143157,True,1,282.01490574287715,4230.223586143157,5,15,168,0,15,167,tour,random,2026091297,main,ok,90.0,840.0,167.0,3133.2235861431573,0.0,traces\main_random_001_2026091297_tour.json,15666.117930715785,0.7784873000000516,True
True,1.0,15,True,continuous_cell,,210.1346745436201,3152.0201181543016,True,1,210.1346745436201,3152.0201181543016,0,15,144,0,15,141,adaptive,random,2026091297,main,ok,75.0,720.0,141.0,2216.020118154301,0.0,traces\main_random_001_2026091297_adaptive.json,11080.100590771506,1.123446599998715,True
True,1.0,15,True,continuous_cell,,208.9259028425672,3133.888542638508,True,1,179.40331631063722,2691.049744659558,3,15,107,0,15,102,joint,random,2026091297,main,ok,84.0,535.0,102.0,2412.8885426385073,442.83879797894997,traces\main_random_001_2026091297_joint.json,12064.442713192537,4.930058600000848,True
True,1.0,14,,field,,362.1481001842537,5070.073402579552,True,2,263.8918338517729,3694.4856739248207,0,14,165,0,14,155,field,random,2026091394,main,ok,70.0,825.0,155.0,4020.0734025795487,1375.587728654731,traces\main_random_002_2026091394_field.json,20100.367012897743,0.18085710000013933,True
True,1.0,14,,sweep,,289.2890908742195,4050.0472722390728,True,2,289.2890908742195,4050.0472722390728,2,14,120,0,14,119,sweep,random,2026091394,main,ok,76.0,600.0,119.0,3255.047272239071,0.0,traces\main_random_002_2026091394_sweep.json,16275.236361195355,0.2740856000000349,True
True,1.0,14,True,tour,,262.08156827124657,3669.1419557974523,True,2,262.08156827124657,3669.1419557974523,6,14,150,0,14,148,tour,random,2026091394,main,ok,88.0,750.0,148.0,2683.1419557974514,0.0,traces\main_random_002_2026091394_tour.json,13415.709778987257,0.7155551999985619,True
True,1.0,14,True,continuous_cell,,236.4593711032497,3310.431195445496,True,2,236.4593711032497,3310.431195445496,2,14,157,0,14,154,adaptive,random,2026091394,main,ok,76.0,785.0,154.0,2295.4311954454947,0.0,traces\main_random_002_2026091394_adaptive.json,11477.155977227474,1.1668015000013838,True
True,1.0,14,True,continuous_cell,,214.751731777632,3006.524244886848,True,2,209.75359851312524,2936.550379183753,3,14,119,0,14,113,joint,random,2026091394,main,ok,79.0,595.0,113.0,2219.5242448868494,69.97386570309482,traces\main_random_002_2026091394_joint.json,11097.621224434248,3.4413175000008778,True
True,1.0,13,,field,,475.3679013311627,6179.7827173051155,True,3,372.00241183479926,4836.031353852391,0,13,191,0,13,181,field,random,2026091491,main,ok,65.0,955.0,181.0,4978.782717305111,1343.751363452725,traces\main_random_003_2026091491_field.json,24893.913586525556,0.17755229999966105,True
True,1.0,13,,sweep,,363.926387233273,4731.043034032548,True,3,363.926387233273,4731.043034032548,0,13,132,0,13,129,sweep,random,2026091491,main,ok,65.0,660.0,129.0,3877.04303403255,0.0,traces\main_random_003_2026091491_sweep.json,19385.21517016275,0.2018607999998494,True
True,1.0,13,True,tour,,282.24691053601225,3669.2098369681594,True,3,272.0331719831158,3536.431235780505,5,13,172,0,13,171,tour,random,2026091491,main,ok,80.0,860.0,171.0,2558.20983696816,132.7786011876542,traces\main_random_003_2026091491_tour.json,12791.049184840798,0.5334640000000945,True
True,1.0,13,True,continuous_cell,,260.23822713196637,3383.0969527155626,True,3,260.23822713196637,3383.0969527155626,1,13,183,0,13,180,adaptive,random,2026091491,main,ok,68.0,915.0,180.0,2220.096952715562,0.0,traces\main_random_003_2026091491_adaptive.json,11100.484763577811,0.741227099999378,True
True,1.0,13,True,continuous_cell,,242.800578959347,3156.407526471511,True,3,242.800578959347,3156.407526471511,4,13,150,0,13,142,joint,random,2026091491,main,ok,77.0,750.0,142.0,2187.407526471511,0.0,traces\main_random_003_2026091491_joint.json,10937.037632357555,1.4846978000005038,True
True,1.0,14,,field,,378.37846813857647,5297.298553940071,True,4,256.4975604467689,3590.9658462547645,0,14,180,0,14,166,field,random,2026091588,main,ok,70.0,900.0,166.0,4161.298553940069,1706.332707685306,traces\main_random_004_2026091588_field.json,20806.492769700344,0.15856189999976777,True
True,1.0,14,,sweep,,335.1071860742332,4691.500605039265,True,4,335.1071860742332,4691.500605039265,0,14,124,0,14,120,sweep,random,2026091588,main,ok,70.0,620.0,120.0,3881.500605039265,0.0,traces\main_random_004_2026091588_sweep.json,19407.503025196325,0.2564764999988256,True
True,1.0,14,True,tour,,303.8060808824799,4253.285132354718,True,4,281.1395920655905,3935.9542889182667,3,14,196,0,14,193,tour,random,2026091588,main,ok,79.0,980.0,193.0,3001.2851323547193,317.3308434364517,traces\main_random_004_2026091588_tour.json,15006.425661773597,0.5791740000004211,True
True,1.0,14,True,continuous_cell,,251.6878911077211,3523.6304755080955,True,4,251.6878911077211,3523.6304755080955,2,14,153,0,14,143,adaptive,random,2026091588,main,ok,76.0,765.0,143.0,2539.6304755080955,0.0,traces\main_random_004_2026091588_adaptive.json,12698.152377540478,1.030105800000456,True
