robot_x_m,robot_y_m,channel,measure_result,svd_deg
-1400.0,1000.0,3,direction,0.51
-1400.0,1000.0,17,direction,8.11
-1400.0,1000.0,19,direction,338.41
-1400.0,600.0,3,direction,25.86
-1400.0,600.0,17,direction,48.87
-1400.0,600.0,19,direction,356.49
-1400.0,200.0,3,direction,44.0
-1400.0,200.0,17,direction,65.02
-1400.0,200.0,19,direction,16.9
-1400.0,200.0,8,direction,269.96
-1400.0,200.0,7,direction,337.11
-1400.0,-200.0,19,direction,32.67
-1400.0,-200.0,8,direction,270.6
-1400.0,-200.0,7,direction,358.91
-1400.0,-600.0,8,direction,272.62
-1400.0,-600.0,7,direction,21.64
-1400.0,-1000.0,8,direction,288.77
-1000.0,-1400.0,15,direction,75.29
-1000.0,-1400.0,8,direction,137.63
-1000.0,-1000.0,15,direction,68.98
-1000.0,-1000.0,8,direction,187.26
-1000.0,-1000.0,7,direction,51.93
-1000.0,-600.0,19,direction,58.14
-1000.0,-600.0,8,direction,228.53
-1000.0,-600.0,7,direction,32.44
-1000.0,-200.0,3,direction,71.28
-1000.0,-200.0,19,direction,44.74
-1000.0,-200.0,8,direction,246.4
-1000.0,-200.0,7,direction,358.61
-1000.0,200.0,3,direction,63.34
-1000.0,200.0,17,direction,89.8
-1000.0,200.0,19,direction,25.58
-1000.0,200.0,8,direction,253.6
-1000.0,200.0,20,direction,23.39
-1000.0,200.0,7,direction,326.19
-1000.0,600.0,3,direction,44.3
-1000.0,600.0,17,direction,87.98
-1000.0,600.0,19,direction,356.19
-1000.0,600.0,20,direction,8.85
-1000.0,600.0,7,direction,307.28
-1000.0,600.0,2,direction,18.95
-1000.0,1000.0,3,direction,1.65
-1000.0,1000.0,17,direction,80.29
-1000.0,1000.0,19,direction,327.33
-1000.0,1000.0,20,direction,351.57
-1000.0,1000.0,2,direction,352.35
-1000.0,1400.0,3,direction,316.67
-1000.0,1400.0,17,direction,271.26
-1000.0,1400.0,19,direction,309.75
-1000.0,1400.0,2,direction,329.78
-600.0,1400.0,3,direction,272.93
-600.0,1400.0,13,direction,7.72
-600.0,1400.0,17,direction,220.58
-600.0,1400.0,19,direction,291.52
-600.0,1400.0,20,direction,324.91
-600.0,1400.0,2,direction,312.16
-600.0,1000.0,3,direction,23.72
-600.0,1000.0,13,direction,25.19
-600.0,1000.0,17,direction,172.63
-600.0,1000.0,19,direction,305.99
-600.0,1000.0,20,direction,346.94
-600.0,1000.0,7,direction,279.56
-600.0,1000.0,2,direction,346.89
-600.0,600.0,3,direction,88.64
-600.0,600.0,17,direction,130.64
-600.0,600.0,19,direction,349.67
-600.0,600.0,20,direction,11.0
-600.0,600.0,7,direction,285.86
-600.0,600.0,2,direction,34.21
-600.0,200.0,3,direction,88.27
-600.0,200.0,17,direction,114.67
-600.0,200.0,19,direction,46.9
-600.0,200.0,20,direction,33.87
-600.0,200.0,7,direction,298.76
-600.0,200.0,2,direction,57.23
-600.0,-200.0,15,direction,155.36
-600.0,-200.0,3,direction,88.52
-600.0,-200.0,19,direction,65.98
-600.0,-200.0,8,direction,226.14
-600.0,-200.0,20,direction,47.86
-600.0,-200.0,7,direction,356.54
-600.0,-600.0,15,direction,100.42
-600.0,-600.0,19,direction,75.07
-600.0,-600.0,8,direction,210.01
-600.0,-600.0,7,direction,59.75
-600.0,-1000.0,15,direction,94.89
-600.0,-1000.0,8,direction,182.56
-600.0,-1000.0,7,direction,74.87
-600.0,-1000.0,5,direction,335.65
-600.0,-1400.0,15,direction,94.3
-600.0,-1400.0,8,direction,155.85
-600.0,-1400.0,7,direction,78.79
-600.0,-1400.0,5,direction,358.42
-200.0,-1400.0,8,direction,163.03
-200.0,-1400.0,7,direction,99.19
